
abdullah_et_al__2009|Abdallah, K.|Progeny Estimation of Different Entomopathogenic Nematodes in Full Fed Larvae of Fruit Flies Drosophila Sp. (Drosophilidae: Diptera).|Life Sciences International Journal|2009-12-31|closed|10.5281/zenodo.805034|805034|https://zenodo.org/record/805034|https://zenodo.org/api/records/805034|
aboim_1945|Aboim, A.N.|Developpement embryonnaire et post-embryonnaire des gonades normales et agametiques de Drosophila melanogaster.|Revue suisse Zool.|1945-12-31|open|10.5281/zenodo.805036|805036|https://zenodo.org/record/805036|https://zenodo.org/api/records/805036|
aboim_et_al__1949|Aboim, A.N.|Toxicite du chlordane (Velsicole 1068) sur plusieurs insectes qui ravagent les substances emmagasinees.|Bolm Soc. port. Cienc. nat.|1949-12-31|open|10.5281/zenodo.805038|805038|https://zenodo.org/record/805038|https://zenodo.org/api/records/805038|
abou_1978|Abou-Youssef, A.Y.|Genetic studies on isozyme polymorphism in Drosophila: I. Survey of D. virilis natural populations for amylase isozymes.|Egypt. J. Genet. Cytol.|1978-01-31|open|10.5281/zenodo.805040|805040|https://zenodo.org/record/805040|https://zenodo.org/api/records/805040|
abou_1979|Abou-Youssef, A.Y.|Genetic studies on isozyme polymorphism in Drosophila. II. Gene frequency changes at the amylase locus in cage population of D. virilis.|Egypt. J. Genet. Cytol.|1979-01-31|open|10.5281/zenodo.805042|805042|https://zenodo.org/record/805042|https://zenodo.org/api/records/805042|
abou_et_al__1983|Abou-Youssef, A.Y.|Seasonal fluctuations of esterase-6 allelic frequencies of Drosophila melanogaster in an area heavily sprayed with insecticides.|Egypt. J. Genet. Cytol.|1983-01-31|open|10.5281/zenodo.805044|805044|https://zenodo.org/record/805044|https://zenodo.org/api/records/805044|
aboul-nasr_1953|Aboul-Nasr, A.|On the effect of Carbon Tetrachloride upon etherized Drosophila virilis.|Bull. Soc. Fouad Ent.|1953-12-31|open|10.5281/zenodo.805046|805046|https://zenodo.org/record/805046|https://zenodo.org/api/records/805046|
aboul-nasr_1954a|Aboul-Nasr, A.|The effect of carbon-dioxide upon the wing-beat frequency of Drosophila virilis Sturtevant (1916).|Bull. Soc. Fouad Ent.|1954-12-31|open|10.5281/zenodo.805048|805048|https://zenodo.org/record/805048|https://zenodo.org/api/records/805048|
aboul-nasr_1954b|Aboul-Nasr, A.|The effect of carbon-tetrachloride upon the wing-beat frequency of Drosophila virilis Sturtevant (1916).|Bull. Soc. Fouad Ent.|1954-12-31|open|10.5281/zenodo.805050|805050|https://zenodo.org/record/805050|https://zenodo.org/api/records/805050|
abrusan__krambeck_2006|Abrusan, G.|Competition may determine the diversity of transposable elements.|Theoret. Pop. Biol.|2006-12-31|closed|10.5281/zenodo.805052|805052|https://zenodo.org/record/805052|https://zenodo.org/api/records/805052|
achterberg_1976|van Achterberg, C.|A new species of Tanycarpa Foerster from England (Hymenoptera, Braconidae, Alysiinae).|Ent. Ber., Amst.|1976-01-01|open|10.5281/zenodo.805055|805055|https://zenodo.org/record/805055|https://zenodo.org/api/records/805055|
achumi_et_al__2013|Achumi, B.|Altitudinal and seasonal variation in Drosophila species on mount Japfu of Nagaland, a sub-Himalayan hilly state of India.|J. Insect Sci.|2013-12-31|closed|10.5281/zenodo.805059|805059|https://zenodo.org/record/805059|https://zenodo.org/api/records/805059|
ackerman__shenefelt_1973|Ackerman, J.K.|Organisms, especially insects, associated with wood rotting higher fungi (Basidiomycetes) in Wisconsin forests.|Trans. Wisc. Acad. Sci.|1973-12-31|open|10.5281/zenodo.805061|805061|https://zenodo.org/record/805061|https://zenodo.org/api/records/805061|
ackland__taylor_1972|Ackland, D.M.|Notes on the Verrall-Collin collection of Diptera in the Hope Department of Entomology, University Museum, Oxford.|Ent. mon. Mag.|1972-09-27|open|10.5281/zenodo.805063|805063|https://zenodo.org/record/805063|https://zenodo.org/api/records/805063|
acosta_et_al__1995|Acosta, T.|Phylogeny of the Drosophila obscura group as inferred from one- and two-dimensional protein electrophoresis.|J. Zool. Syst. Evol. Res.|1995-12-31|open|10.5281/zenodo.805065|805065|https://zenodo.org/record/805065|https://zenodo.org/api/records/805065|
acurio__rafael_2009a|Acurio, A.E.|Inventario Taxonomico de Drosophilidae (Diptera) en el Parque Nacional Yasuni, Amazonia Ecuatoriana.|Acta Amazon.|2009-12-31|closed|10.5281/zenodo.805067|805067|https://zenodo.org/record/805067|https://zenodo.org/api/records/805067|
acurio__rafael_2009b|Acurio, A.|Diversity and geographical distribution of Drosophila (Diptera, Drosophilidae) in Ecuador.|D. I. S.|2009-12-31|closed|10.5281/zenodo.805069|805069|https://zenodo.org/record/805069|https://zenodo.org/api/records/805069|
acurio_et_al__2010|Acurio, A.|Biological Invasions in the Amazonian Tropical Rain Forest: The Case of Drosophilidae (Insecta, Diptera) in Ecuador, South America.|Biotropica|2010-12-31|closed|10.5281/zenodo.805071|805071|https://zenodo.org/record/805071|https://zenodo.org/api/records/805071|
acurio_et_al__2013|Acurio, A.|Description of a New Spotted Wing Drosophila (Diptera: Drosophilidae) Species and Its Evolutionary Relationships Inferred by a Cladistic Analysis of Morphological Traits.|Ann. ent. Soc. Am.|2013-12-31|closed|10.5281/zenodo.805073|805073|https://zenodo.org/record/805073|https://zenodo.org/api/records/805073|
adams__wolfner_2007|Adams, E.A.|Seminal proteins but not sperm induce morphological changes in the Drosophila melanogaster female reproductive tract during sperm storage.|J. Insect Physiol.|2007-12-31|closed|10.5281/zenodo.805075|805075|https://zenodo.org/record/805075|https://zenodo.org/api/records/805075|
adams_1898|Adams, F.C.|Diptera taken in the New Forest.|Ent. mon. Mag.|1898-12-31|open|10.5281/zenodo.805077|805077|https://zenodo.org/record/805077|https://zenodo.org/api/records/805077|
adams_1902|Adams, F.C.|Acletoxenus syrphoides, Frnfd., at Lyndhurst.|Ent. mon. Mag.|1902-05-31|open|10.5281/zenodo.805079|805079|https://zenodo.org/record/805079|https://zenodo.org/api/records/805079|
adams_1905a|Adams, C.F.|Diptera africana, I.|Kans. Univ. Sci. Bull.|1905-10-31|open|10.5281/zenodo.805081|805081|https://zenodo.org/record/805081|https://zenodo.org/api/records/805081|
adams_1906|Adams, F.C.|Notes on Diptera in the New Forest, 1905.|The Entomologist's monthly magazine|1906-05-31|open|10.5281/zenodo.805083|805083|https://zenodo.org/record/805083|https://zenodo.org/api/records/805083|
adamson_1939|Adamson, A.M.|Review of the fauna of the Marquesas Islands and discussion of its origin.|Bernice P. Bishop Museum Bulletin|1939-12-31|open|10.5281/zenodo.805085|805085|https://zenodo.org/record/805085|https://zenodo.org/api/records/805085|
adell_et_al__1990|Adell, J.C.|On the analysis of viability data: an example with Drosophila.|Heredity|1990-08-31|open|10.5281/zenodo.805087|805087|https://zenodo.org/record/805087|https://zenodo.org/api/records/805087|
aders_1916|Aders, W.M.|Insects injurious to man and stock in Zanzibar.|Bulletin of Entomological Research|1916-12-31|open|10.5281/zenodo.805089|805089|https://zenodo.org/record/805089|https://zenodo.org/api/records/805089|
aders_1917|Aders, W.M.|Insects injurious to man and stock in Zanzibar.|Bull. Ent. Res.|1917-06-18|open|10.5281/zenodo.805091|805091|https://zenodo.org/record/805091|https://zenodo.org/api/records/805091|
afonso_et_al__1985|Afonso, J.M.|Gametic non-random associations in North-West African populations of Drosophila melanogaster.|Genetica|1985-07-31|open|10.5281/zenodo.805095|805095|https://zenodo.org/record/805095|https://zenodo.org/api/records/805095|
afonso_et_al__1990|Afonso, J.M.|Mitochondrial DNA Variation and Genetic Structure in Old-World Populations of Drosophila subobscura.|Molec. Biol. Evol.|1990-03-31|open|10.5281/zenodo.805097|805097|https://zenodo.org/record/805097|https://zenodo.org/api/records/805097|
aggarwal_et_al__2013|Aggarwal, D.D.|Rapid effects of humidity acclimation on stress resistance in Drosophila melanogaster.|Comp. Biochem. Physiol.|2013-12-31|closed|10.5281/zenodo.805099|805099|https://zenodo.org/record/805099|https://zenodo.org/api/records/805099|
