Symbiosis|Symbiosis
Studies Neotrop. Fauna Environ.|Studies on Neotropical Fauna and Environment
Springerplus|Springerplus
Int. J. Pest Manag.|International Journal of Pest Management
Genom Biol. Evol.|Genom Biology and Evolution
Casopis Ziva|Casopis Ziva
Bull. Murithienne|Bulletin de la Murithienne
World J. Zool.|World Journal of Zoology
Norw. J. Ent.|Norwegian Journal of Entomology
N. Z. J. Crop Hortic. Sci.|New Zealand Journal of Crop and Horticultural Science
Natureza & Conserv.|Natureza & Conservacao
J. Genet. Genomics|Journal of Genetics and Genomics
Int. J. Evol. Biol.|International Journal of Evolutionary Biology
Int. J. Ecol.|International Journal of Ecology
Int. J. Biodiv. Conserv.|International Journal of Biodiversity and Conservation
Insects|Insects
Insect Sci.|Insect Science
Insect Conserv. Diversity|Insect Conservation and Diversity
Ferrantia|Ferrantia
EntomoBrasilis|EntomoBrasilis
Ecoscan|Ecoscan
Contrib. Zool.|Contributions to Zoology
Ciencia Rural|Ciencia Rural
Bull. Soc. r. belge Ent.|Bulletin de la Societe royale belge d'Entomologie
Cent. Eur. J. Biol.|Central European Journal of Biology
J. Ent. Acar. Res.|Journal of Entomological and Acariological Research
UVA-Revue|UFA Revue, Winterthur
Zoologia|Zoologia (Sociedade Brasileira de zoologia)
J. Kulturpflanzen|Journal fur Kulturpflanzen
J. Integr. Pest Managem.|Journal of Integrated Pest Management
ZooKeys|ZooKeys
Phytoma|Phytoma
Osttiroler Bote|Osttiroler Bote
Kronen-Zeitung|Kronen-Zeitung
Hiroshima J. Vet. Med.|The Hiroshima Journal of Veterinary Medicine
Die Rheinpfalz|Die Rheinpfalz
Bull. Insectol.|Bulletin of Insectology
Badische Zeitung|Badische Zeitung
Faunistica|faunistica
Plant Protection|Plant Protection
Fly Times|Fly Times
Explore|Explore
Biol. Lett.|Biology Letters
Polish Bot. J.|Ploish Botanical Journal
Phelsuma|Phelsuma
Boln BIGA|Boletin BIGA
Annls zool., Warsz.|Annales zoologici, Warszawa
Terra Trentina|Terra Trentina
Fly Times|Fly Times
African Crop Sci. J.|African Crop Science Journal
Tohoku Agric. Res.|Tohoku Agricultural Research
A. Rep. Kanto-Tosan Plant Prot. Soc.|Annual Report of the Kanto-Tosan Plant Protection Society
Acta Horticult.|Acta Horticulturae
Int. J. trop. Insect Sci.|International Journal of tropical Insect Science
Rec. Auckland Inst. Mus.|Records of the Auckland Institute and Museum
Notornis|Notornis
N. Z. Natl Heritage|New Zealand National Heritage
Aroideana|Aroideana
Check List|Check List
Proc. Latvian Acad. Sci.|Proceedings of the Latvian Academy of Sciences
Pesq. agropec. bras.|Pesquesas agropec. brasileiras
Pesq. agropec. trop.|Pesquisa Agropecuaria Tropical
J. threat. Taxa|Journal of threatened Taxa
Acta biol. colomb.|Acta biologica colombiana
Life Sci. Int. J.|Life Sciences International Journal
S. African J. Enol. Vitic.|South African Journal of Enology and Viticulture
Entomotropica|Entomotropica
Trans. Cardiff Nat. Soc.|Transactions of the Cardiff Naturalists Society
Rep. Devonsh. Ass. Adv. Sci.|Report of the Devonshire Association for the Advances of Sciences
Q. La St. Bd Health|Q. Louisiana State Board of Health
Mitochondrial DNA|Mitochondrial DNA
Memoirs Austr. Mus.|Memoirs of the Australian Museum
Malay. Agric. J.|Malayan Agricultural Journal
Bull. Bur. Bio-Technol.|Bulletin of the Bureau of Bio-Technology
Bull. Arizona Exp. St.|Bulletin of the Arizona Experimental Station
Braz. J. Microbiol.|Brazilian Journal of Microbiology
Braz. J. morphol. Sci.|Brazilian Journal of morphological Sciences
A. Rep. State Bd Agric.|Annual report of the State Board of Agriculture
Polish Bot. Studies|Polish Botanical Studies
Mycol. Res.|Mycological Research
J. exp. Zool. (Mol. Dev. Evol.)|Journal of Experimental Zoology
Informativo, Soc. Ent. Brasil|Informativo, Sociedade Entomologica do Brasil
Fly|Fly
Ent. Res.|Entomological Research
Curr. Opin. Biotechn.|Current Opinion in Biotechnology
Crypt. Bot.|Cryptogamic Botany
Vet. Parasitol.|Veterinary Parasitology
Entomo Helvetica|Entomo Helvetica
